"Last  4809","JAIN SLEE 1.0 API Javadoc Assertions",,,,,,"T?: 0","High:174","1376 (ex methods)",22,168,354,24,24,318,,449,0,0,3
,,,,,,,,,,,,,,,,,,,,
"ID","SLEE Class","SLEE Method","Para","Vsn","Type","Ref","T","Pr","Testable Assertion(s) (with Context info)","Spec Notes","Test Notes","Test Title","Equivalence Classes & Boundary Values","Chosen Test Cases","Test Procedure (including checks)","Author","Code Status","Dirty Flag","Subject to change?","May be untestable?"
"Valid Values",,,,,,,,,,,,,,,,,,,,
,,,,"Pfd2","Assertion",,"Y","High",,,,,,,,,"Active",,"Y","Y"
,,,,"Pfd3","Example",,"Y","Low",,,,,,,,,"Complete",,,
,,,,,"Implied",,"Y",,,,,,,,,,"Removed",,,
,,,,,"Ap Req",,"Y",,,,,,,,,,,,,
,,,,,"Ap Eg",,"Y",,,,,,,,,,,,,
,,,,,"Expect Repeat",,"Y",,,,,,,,,,,,,
,,,,,"Method",,"N",,,,,,,,,,,,,
,,,,,"Ap Recom",,"N",,,,,,,,,,,,,
,,,,,"Impossible",,"N",,,,,,,,,,,,,
,,,,,"Context",,"N",,,,,,,,,,,,,
,,,,,"Self-Evident",,"N",,,,,,,,,,,,,
,,,,,"Repeat",,"N",,,,,,,,,,,,,
,,,,,"Covered",,"N",,,,,,,,,,,,,
,,,,,"Optional",,"N",,,,,,,,,,,,,
,,,,,"Bug",,"N",,,,,,,,,,,,,
,,,,,"Out of Scope",,"N",,,,,,,,,,,,,
,,,,,"Removed",,"!",,,,,,,,,,,,,
"Assertions",,,,,,,,,,,,,,,,,,,,
3000,"javax.slee.ActivityContextInterface","getActivity",,"Pfd2","Method",3003,,,,,,,,,,,"Complete",,,
3001,,,1,"Pfd2","Context",,,,"Get the Activity object for the activity encapsulated by this object.",,,,,,,,,,,
3002,,,2,"Pfd2","Impossible",,,,"This method is a mandatory transactional method.",,"We never have a guaranteed 'non-transactional' context to test from.",,,,,,,,,
3003,,,3.1,"Pfd2","Assertion",,,"High","Returns the Activity object.",,,"GetActivityTest",,,"Invoke getActivity(), and confirm that the returned result is not null, and is a TCKActivity.","Cath","Complete",,,
3004,,,4.1,"Pfd2","Impossible",,,,"Throws TransactionRequiredLocalException if this method is invoked without a valid transaction context.",,"We never have a guaranteed 'non-transactional' context to test from.",,,,,,,,,
3005,,,4.2,"Pfd2","Impossible",,,,"Throws SLEEException if the activity could not be obtained due to a system-level failure.",,,,,,,,,,,
3006,"javax.slee.ActivityContextInterface","attach",,"Pfd2","Method","3008,3009",,,,,,,,,,,"Complete",,,
3007,,,1,"Pfd2","Covered",3008,,,"Attach an SBB entity to the Activity Context.",,,,,,,,,,,
3008,,,1,"Pfd2","Assertion",,,"High","The SBB entity will subsequently begin to receive events that it is interested in that occur on the underlying activity.",,,"AttachEventsTest",,,"Attach an Sbb to an activity, and ensure it receives events fires on that activity.","Cath","Complete",,,
3009,,,1,"Pfd2","Assertion",,,"High","If the SBB has any <event> deployment descriptor elements with the mask-on-attach attribute set to True, those events will automatically be masked from the SBB entity until the event mask is explicitly changed via the SbbContext.maskEvent method.",,,"AttachMaskedTest",,,,"Cath","Complete",,,
3010,,,2,"Pfd2","Assertion",,,"Low","If the specified SBB entity is already attached to the Activity Context, this method has no effect.",,,"AttachTwiceTest",,,,"Cath","Complete",,,
3015,,,3,"Pfd2","Impossible",,,,"This method is a mandatory transactional method.",,"We never have a guaranteed 'non-transactional' context to test from.",,,,,,,,,
3016,,,4.1,"Pfd2","Assertion",,,"Low","Throws java.lang.NullPointerException if sbb is null.",,,"AttachNullTest",,,,"Cath","Complete",,,
3017,,,4.2,"Pfd2","Impossible",,,,"Throws TransactionRequiredLocalException if this method is invoked without a valid transaction context.",,"We never have a guaranteed 'non-transactional' context to test from.",,,,,,,,,
3018,,,4.3,"Pfd2","Assertion",,,"High","Throws TransactionRolledbackLocalException if sbb does not reference a valid SBB entity.",,,"AttachInvalidTest",,,"In a parent SBB's initial event handler, create a child SBB, remove it, then try to attach it to the ACI. Check that the TransactionRolledbackLocalException is thrown.","Cath,Matt","Complete",,,
