"Last: 2510","JAIN SLEE 1.0 Technical Specification Assertions",,,,,"T?: 0",,9,306,503,74,90,462,"Active: 1"
,,,,,,,,,,,,,,
"ID","Section","Para","Vsn","Type","Ref","T","Testable Assertion(s)  (with Context info)","Spec Notes","Test Notes","Test  Title","Equivalence Classes & Boundary Values","Chosen Test Cases","Test Procedure (including checks)","Code Status"
"Valid Values",,,,,,,,,,,,,,
,,,"Pfd2","Assertion",,"Y",,,,,,,,"Active"
,,,"Pfd3","Example",,"Y",,,,,,,,"Complete"
,,,,"Implied",,"Y",,,,,,,,"Removed"
,,,,"Ap Req",,"Y",,,,,,,,
,,,,"DD Structure",,"Y",,,,,,,,
,,,,"Ap Eg",,"Y",,,,,,,,
,,,,"Expect Repeat",,"Y",,,,,,,,
,,,,"Ap Recom",,"N",,,,,,,,
,,,,"Impossible",,"N",,,,,,,,
,,,,"Context",,"N",,,,,,,,
,,,,"Self-Evident",,"N",,,,,,,,
,,,,"Repeat",,"N",,,,,,,,
,,,,"Covered",,"N",,,,,,,,
,,,,"Optional",,"N",,,,,,,,
,,,,"Bug",,"N",,,,,,,,
,,,,"Out of Scope",,"N",,,,,,,,
,,,,"Removed",,"!",,,,,,,,
"Assertions",,,,,,,,,,,,,,
1,"1.*","*","Pfd2","Context",,,"(All context info)",,,,,,,
2,2,"*","Pfd2","Context",,,"(All context info)",,,,,,,
3,2.1,"*","Pfd2","Context",,,"(All context info)",,,,,,,
4,"2.1.1 ","*","Pfd2","Context",,,"(All context info)",,,,,,,
5,"2.1.1.1",2,"Pfd2","Assertion",,,"Every event in the SLEE has an event type.",,,,,,,
6,"2.1.3",1,"Pfd3","Repeat","1163,1167",,"The SLEE specification defines a number of Facilites that may be used by SBB components.  These Facilities include the Timer Facility, the Trace Facility, and the Alarm Facility.",,,,,,,
7,"2.2.1",1.6,"Pfd2","Assertion",,,"Each Activity Context has a name and a type.",,,,,,,
8,"2.2.4",1,"Pfd2","Assertion",,,"Since an SBB entity may only be created once, it only has a single parent.",,,,,,,
9,"2.2.4",3,"Pfd2","Assertion",,,"The SLEE will only create instances of root SBBs, known as root SBB entities.",,,,,,,
10,"2.2.4",3,"Pfd2","Assertion",,,"An SBB entity belongs to exactly one SBB entity tree.",,,,,,,
11,"2.2.4",4,"Pfd2","Ap Eg",,,"For example, the SLEE may instatiate a root CallBlockingAndForwarding SBB entity to handle a single call.  This SBB entity may subsequently create zero or more children CallBlockingSBB or CallForwardingSBB entities to help it handle the call.  This SBB entity tree has one root CallBlockingAndForwarding SBB entity and zero or more directed edges from the root SBB entity to its child CallBlocking SBB and CallForwarding SBB entities.",,,,,,,
12,"2.2.4",7,"Pfd2","Context",,,"An SBB entity sub-tree is a tree whose root is a decscendent of a root SBB entity.",,,,,,,
13,"2.2.5",1,"Pfd2","Repeat",772,,"An event is delivered in order to each SBB entity that is interested in receiving the event.",,,,,,,
14,"2.2.5",1,"Pfd2","Repeat",784,,"A parent SBB entity always receives the same event before its child SBB entities.",,,,,,,
15,"2.2.5",1,"Pfd2","Repeat",785,,"The event delivery priority of an SBB entity determines the order that sibling SBB entities receive the event.",,,,,,,
16,"2.2.5",2,"Pfd2","Repeat",774,,"The parent SBB specifies a default event delivery priority for each child relation.  When a parent SBB entity creates a child SBB entity, the SLEE assigns the default event delivery priority specified by the child relation to the child SBB entity.",,,,,,,
2490,"2.2.6",1,"Pfd3","Expect Repeat",,,"An SBB entity can be removed by invoking the remove method on the SbbLocalObject interface or via the ChildRelationObject interface.",,,,,,,
17,"2.2.6",1,"Pfd2","Removed",,,"Only the immediate parent of a child SBB entity can invoke a method t o remove the child SBB enity.",,,,,,,
18,"2.2.6",2,"Pfd2","Repeat",304,,"When the SLEE removes a sub-tree, it performs a pre-order traversal of the sub-tree to delete the SBB entities in the sub-tree.  It deletes the parent SBB entity before it deletes the child SBB entities.",,,,,,,
19,"2.2.6",2,"Pfd2","Repeat",787,,"The SLEE does not specify the order in which sibling SBB entities are deleted.",,,,,,,
20,"2.2.6",2,"Pfd3","Removed",,,"When the SLEE removes an SBB entity, the SLEE detaches the SBB entity from all Activity Contexts (see Section 7.3.3).",,,,,,,
